Timestamp,OS,Machine_ID,Hostname,RAM_Usage_MB,Swap_Usage_MB,CPU_Usage,Page_Faults_Delta
1747422075.566675,Windows,BT7274_BT7274,BT7274,11775.5859375,15542.90625,11.2,4266
1747422076.080553,Windows,BT7274_BT7274,BT7274,11777.953125,15543.3515625,14.0,4266
1747422076.7321513,Windows,BT7274_BT7274,BT7274,11773.51171875,15542.921875,10.2,4616
1747422077.3292603,Windows,BT7274_BT7274,BT7274,11772.78125,15542.8984375,13.4,4616
1747422077.8304422,Windows,BT7274_BT7274,BT7274,11776.15234375,15543.1484375,8.8,2772
1747422078.3436677,Windows,BT7274_BT7274,BT7274,11771.65625,15543.59765625,17.1,2772
1747422078.971681,Windows,BT7274_BT7274,BT7274,11766.79296875,15543.58203125,13.1,4123
1747422079.5679686,Windows,BT7274_BT7274,BT7274,11763.44921875,15541.703125,12.8,4123
1747422080.0686715,Windows,BT7274_BT7274,BT7274,11764.90234375,15541.71484375,11.1,5226
1747422080.585595,Windows,BT7274_BT7274,BT7274,11763.66015625,15541.81640625,14.1,5226
1747422081.177368,Windows,BT7274_BT7274,BT7274,11761.29296875,15541.85546875,11.0,5226
1747422081.7995632,Windows,BT7274_BT7274,BT7274,11758.6015625,15541.828125,11.9,3753
1747422082.3189259,Windows,BT7274_BT7274,BT7274,11757.87890625,15541.54296875,8.4,3753
1747422082.912913,Windows,BT7274_BT7274,BT7274,11755.9140625,15542.40625,13.0,4374
1747422083.50786,Windows,BT7274_BT7274,BT7274,11753.42578125,15542.4765625,11.5,4374
1747422084.0108266,Windows,BT7274_BT7274,BT7274,11751.4765625,15542.921875,12.2,5543
1747422084.5231993,Windows,BT7274_BT7274,BT7274,11751.4453125,15543.30078125,12.4,5543
1747422085.121416,Windows,BT7274_BT7274,BT7274,11749.44921875,15542.953125,11.5,5543
1747422085.752648,Windows,BT7274_BT7274,BT7274,11750.1171875,15540.7421875,10.0,3459
1747422086.2534444,Windows,BT7274_BT7274,BT7274,11744.29296875,15541.02734375,14.1,3459
1747422086.7735844,Windows,BT7274_BT7274,BT7274,11744.3046875,15540.91796875,17.7,3766
1747422087.3817832,Windows,BT7274_BT7274,BT7274,11740.0703125,15541.1171875,11.3,3766
1747422087.976591,Windows,BT7274_BT7274,BT7274,11740.28515625,15541.4921875,10.0,4303
1747422088.4948666,Windows,BT7274_BT7274,BT7274,11739.96484375,15541.8828125,11.8,4303
1747422089.1040862,Windows,BT7274_BT7274,BT7274,11740.82421875,15541.8125,11.6,4303
1747422089.7301402,Windows,BT7274_BT7274,BT7274,11740.98828125,15541.95703125,9.0,5185
1747422090.2313635,Windows,BT7274_BT7274,BT7274,11741.82421875,15542.3359375,11.8,5185
1747422090.747391,Windows,BT7274_BT7274,BT7274,11740.28125,15542.98046875,9.8,4367
1747422091.3578107,Windows,BT7274_BT7274,BT7274,11741.546875,15543.03515625,10.3,4367
1747422091.9435432,Windows,BT7274_BT7274,BT7274,11741.36328125,15543.0390625,9.2,4388
1747422092.4656656,Windows,BT7274_BT7274,BT7274,11741.94921875,15543.08203125,10.5,4388
1747422093.07289,Windows,BT7274_BT7274,BT7274,11741.08203125,15536.46484375,10.2,4388
1747422093.701079,Windows,BT7274_BT7274,BT7274,11740.44921875,15536.4296875,13.5,4314
1747422094.2116854,Windows,BT7274_BT7274,BT7274,11737.4921875,15535.796875,9.1,4314
1747422094.8078935,Windows,BT7274_BT7274,BT7274,11735.5078125,15535.2578125,12.0,4877
1747422095.4336154,Windows,BT7274_BT7274,BT7274,11735.51953125,15534.80859375,10.2,4877
1747422095.9343257,Windows,BT7274_BT7274,BT7274,11733.70703125,15535.41796875,9.9,4513
1747422096.4545557,Windows,BT7274_BT7274,BT7274,11733.1875,15535.51953125,13.4,4513
1747422097.0838697,Windows,BT7274_BT7274,BT7274,11733.9453125,15536.42578125,12.9,2711
1747422097.6768231,Windows,BT7274_BT7274,BT7274,11738.94921875,15536.265625,13.7,2711
1747422098.1792645,Windows,BT7274_BT7274,BT7274,11743.0390625,15536.3984375,9.7,5035
1747422098.6905842,Windows,BT7274_BT7274,BT7274,11742.86328125,15536.37890625,10.6,5035
1747422099.3163254,Windows,BT7274_BT7274,BT7274,11745.26171875,15536.0234375,14.2,5035
1747422099.9071147,Windows,BT7274_BT7274,BT7274,11743.4921875,15536.84765625,10.4,3596
1747422100.4435625,Windows,BT7274_BT7274,BT7274,11743.03125,15536.734375,13.1,3596
1747422101.0594673,Windows,BT7274_BT7274,BT7274,11741.75390625,15537.08984375,11.5,4466
1747422101.6538212,Windows,BT7274_BT7274,BT7274,11740.37890625,15537.1484375,13.9,4466
1747422102.170374,Windows,BT7274_BT7274,BT7274,11744.85546875,15537.03515625,10.2,4479
1747422102.777639,Windows,BT7274_BT7274,BT7274,11742.453125,15537.44921875,9.7,4479
1747422103.372476,Windows,BT7274_BT7274,BT7274,11742.69140625,15536.9140625,12.0,4057
1747422103.8738027,Windows,BT7274_BT7274,BT7274,11742.625,15537.546875,13.6,4057
1747422104.3855646,Windows,BT7274_BT7274,BT7274,11742.21484375,15537.4609375,13.7,4057
1747422105.0077834,Windows,BT7274_BT7274,BT7274,11740.109375,15537.7265625,13.4,4520
1747422105.616718,Windows,BT7274_BT7274,BT7274,11742.890625,15537.8671875,10.3,4520
1747422106.1319604,Windows,BT7274_BT7274,BT7274,11745.859375,15538.30859375,12.1,4993
1747422106.74363,Windows,BT7274_BT7274,BT7274,11745.28515625,15538.1484375,8.2,4993
1747422107.3394454,Windows,BT7274_BT7274,BT7274,11742.69921875,15538.39453125,12.2,4375
1747422107.8406513,Windows,BT7274_BT7274,BT7274,11743.09375,15538.78515625,11.8,4375
